onset_sec,duration,freq,offset,loc_change
0,0.9,830.6093951598903,0.9,0
1,0.9,329.6275569128699,1.9,0
2,0.9,783.9908719634985,2.9,1
3,0.9,622.2539674441618,3.9,0
4,0.9,440.0,4.9,0
5,0.9,329.6275569128699,5.9,0
6,0.9,246.94165062806206,6.9,0
7,0.9,830.6093951598903,7.9,0
8,0.9,440.0,8.9,0
9,0.9,587.3295358348151,9.9,0
10,0.9,261.6255653005986,10.9,0
11,0.9,415.3046975799451,11.9,0
12,0.9,554.3652619537442,12.9,0
13,0.9,739.9888454232688,13.9,0
14,0.9,698.4564628660078,14.9,0
15,0.9,277.1826309768721,15.9,0
16,0.9,369.9944227116344,16.9,0
17,0.9,246.94165062806206,17.9,0
18,0.9,329.6275569128699,18.9,0
19,0.9,493.8833012561241,19.9,0
20,0.9,739.9888454232688,20.9,0
21,0.9,659.2551138257398,21.9,1
22,0.9,880.0,22.9,1
23,0.9,329.6275569128699,23.9,0
24,0.9,246.94165062806206,24.9,0
25,0.9,880.0,25.9,1
26,0.9,261.6255653005986,26.9,0
27,0.9,659.2551138257398,27.9,0
28,0.9,622.2539674441618,28.9,0
29,0.9,830.6093951598903,29.9,0
30,0.9,554.3652619537442,30.9,0
31,0.9,739.9888454232688,31.9,0
32,0.9,349.2282314330039,32.9,0
33,0.9,349.2282314330039,33.9,0
34,0.9,220.0,34.9,0
35,0.9,311.1269837220809,35.9,0
36,0.9,261.6255653005986,36.9,0
37,0.9,830.6093951598903,37.9,0
38,0.9,698.4564628660078,38.9,0
39,0.9,293.6647679174076,39.9,1
40,0.9,587.3295358348151,40.9,0
41,0.9,440.0,41.9,0
42,0.9,277.1826309768721,42.9,0
43,0.9,246.94165062806206,43.9,0
44,0.9,830.6093951598903,44.9,0
45,0.9,277.1826309768721,45.9,0
46,0.9,220.0,46.9,0
47,0.9,233.08188075904496,47.9,0
48,0.9,233.08188075904496,48.9,0
49,0.9,369.9944227116344,49.9,0
50,0.9,554.3652619537442,50.9,0
51,0.9,554.3652619537442,51.9,0
52,0.9,440.0,52.9,0
53,0.9,622.2539674441618,53.9,0
54,0.9,587.3295358348151,54.9,1
55,0.9,246.94165062806206,55.9,0
56,0.9,261.6255653005986,56.9,1
57,0.9,698.4564628660078,57.9,0
58,0.9,220.0,58.9,1
59,0.9,415.3046975799451,59.9,0
