onset_sec,duration,freq,offset,loc_change
0,0.9,783.9908719634985,0.9,0
1,0.9,587.3295358348151,1.9,0
2,0.9,349.2282314330039,2.9,0
3,0.9,329.6275569128699,3.9,0
4,0.9,391.99543598174927,4.9,0
5,0.9,369.9944227116344,5.9,0
6,0.9,220.0,6.9,0
7,0.9,523.2511306011972,7.9,0
8,0.9,783.9908719634985,8.9,0
9,0.9,698.4564628660078,9.9,0
10,0.9,349.2282314330039,10.9,1
11,0.9,415.3046975799451,11.9,0
12,0.9,493.8833012561241,12.9,1
13,0.9,466.1637615180899,13.9,0
14,0.9,329.6275569128699,14.9,0
15,0.9,349.2282314330039,15.9,0
16,0.9,523.2511306011972,16.9,0
17,0.9,622.2539674441618,17.9,0
18,0.9,880.0,18.9,0
19,0.9,220.0,19.9,0
20,0.9,523.2511306011972,20.9,1
21,0.9,523.2511306011972,21.9,0
22,0.9,622.2539674441618,22.9,0
23,0.9,220.0,23.9,0
24,0.9,493.8833012561241,24.9,0
25,0.9,329.6275569128699,25.9,0
26,0.9,293.6647679174076,26.9,0
27,0.9,277.1826309768721,27.9,0
28,0.9,329.6275569128699,28.9,0
29,0.9,246.94165062806206,29.9,1
30,0.9,698.4564628660078,30.9,0
31,0.9,220.0,31.9,1
32,0.9,880.0,32.9,0
33,0.9,523.2511306011972,33.9,0
34,0.9,369.9944227116344,34.9,0
35,0.9,659.2551138257398,35.9,0
36,0.9,880.0,36.9,0
37,0.9,311.1269837220809,37.9,0
38,0.9,233.08188075904496,38.9,0
39,0.9,493.8833012561241,39.9,0
40,0.9,220.0,40.9,0
41,0.9,523.2511306011972,41.9,0
42,0.9,523.2511306011972,42.9,0
43,0.9,493.8833012561241,43.9,0
44,0.9,622.2539674441618,44.9,0
45,0.9,880.0,45.9,1
46,0.9,415.3046975799451,46.9,0
47,0.9,698.4564628660078,47.9,0
48,0.9,830.6093951598903,48.9,0
49,0.9,415.3046975799451,49.9,1
50,0.9,440.0,50.9,0
51,0.9,415.3046975799451,51.9,0
52,0.9,440.0,52.9,0
53,0.9,440.0,53.9,0
54,0.9,246.94165062806206,54.9,0
55,0.9,293.6647679174076,55.9,0
56,0.9,783.9908719634985,56.9,0
57,0.9,329.6275569128699,57.9,1
58,0.9,440.0,58.9,0
59,0.9,293.6647679174076,59.9,0
