onset_sec,duration,freq,offset,boundary,changable_note
0,0.9,523.2511306,0.9,1,0
1,0.9,391.995436,1.9,0,1
2,0.9,622.2539674,2.9,0,0
3,0.9,493.8833013,3.9,1,1
4,0.9,311.1269837,4.9,0,0
5,0.9,554.365262,5.9,0,1
6,0.9,493.8833013,6.9,0,0
7,0.9,739.9888454,7.9,0,1
8,0.9,311.1269837,8.9,0,0
9,0.9,466.1637615,9.9,1,1
10,0.9,349.2282314,10.9,0,0
11,0.9,880,11.9,0,1
12,0.9,349.2282314,12.9,0,0
13,0.9,587.3295358,13.9,0,1
14,0.9,246.9416506,14.9,0,0
15,0.9,329.6275569,15.9,0,1
16,0.9,277.182631,16.9,0,0
17,0.9,587.3295358,17.9,0,1
18,0.9,293.6647679,18.9,0,0
19,0.9,220,19.9,0,1
20,0.9,830.6093952,20.9,0,0
21,0.9,369.9944227,21.9,0,1
22,0.9,293.6647679,22.9,0,0
23,0.9,349.2282314,23.9,0,1
24,0.9,246.9416506,24.9,0,0
25,0.9,466.1637615,25.9,0,1
26,0.9,523.2511306,26.9,0,0
27,0.9,233.0818808,27.9,0,1
28,0.9,830.6093952,28.9,0,0
29,0.9,277.182631,29.9,0,1
30,0.9,415.3046976,30.9,0,0
31,0.9,415.3046976,31.9,1,1
32,0.9,830.6093952,32.9,0,0
33,0.9,554.365262,33.9,0,1
34,0.9,622.2539674,34.9,0,0
35,0.9,277.182631,35.9,0,1
36,0.9,659.2551138,36.9,0,0
37,0.9,246.9416506,37.9,0,1
38,0.9,783.990872,38.9,0,0
39,0.9,523.2511306,39.9,0,1
40,0.9,311.1269837,40.9,1,0
41,0.9,311.1269837,41.9,0,1
42,0.9,369.9944227,42.9,0,0
43,0.9,293.6647679,43.9,0,1
44,0.9,261.6255653,44.9,0,0
45,0.9,698.4564629,45.9,0,1
46,0.9,440,46.9,0,0
47,0.9,440,47.9,0,1
48,0.9,220,48.9,0,0
49,0.9,523.2511306,49.9,0,1
50,0.9,523.2511306,50.9,0,0
51,0.9,329.6275569,51.9,0,1
52,0.9,880,52.9,0,0
53,0.9,369.9944227,53.9,0,1
54,0.9,493.8833013,54.9,0,0
55,0.9,415.3046976,55.9,0,1
56,0.9,233.0818808,56.9,0,0
57,0.9,220,57.9,0,1
58,0.9,311.1269837,58.9,0,0
59,0.9,349.2282314,59.9,1,1
