onset_sec,duration,freq,offset,loc_change
0,0.95,830.6093951598903,0.95,0
1,0.95,880.0,1.95,0
2,0.95,698.4564628660078,2.95,0
3,0.95,783.9908719634985,3.95,0
4,0.95,369.9944227116344,4.95,0
5,0.95,349.2282314330039,5.95,0
6,0.95,277.1826309768721,6.95,0
7,0.95,587.3295358348151,7.95,0
8,0.95,391.99543598174927,8.95,1
9,0.95,587.3295358348151,9.95,0
10,0.95,554.3652619537442,10.95,0
11,0.95,246.94165062806206,11.95,0
12,0.95,329.6275569128699,12.95,1
13,0.95,493.8833012561241,13.95,0
14,0.95,523.2511306011972,14.95,0
15,0.95,329.6275569128699,15.95,0
16,0.95,293.6647679174076,16.95,0
17,0.95,277.1826309768721,17.95,1
18,0.95,220.0,18.95,0
19,0.95,622.2539674441618,19.95,0
20,0.95,391.99543598174927,20.95,0
21,0.95,246.94165062806206,21.95,0
22,0.95,246.94165062806206,22.95,1
23,0.95,493.8833012561241,23.95,1
24,0.95,311.1269837220809,24.95,0
25,0.95,739.9888454232688,25.95,0
26,0.95,659.2551138257398,26.95,0
27,0.95,233.08188075904496,27.95,0
28,0.95,311.1269837220809,28.95,0
29,0.95,587.3295358348151,29.95,0
30,0.95,220.0,30.95,0
31,0.95,493.8833012561241,31.95,1
32,0.95,261.6255653005986,32.95,0
33,0.95,261.6255653005986,33.95,0
34,0.95,739.9888454232688,34.95,0
35,0.95,311.1269837220809,35.95,0
36,0.95,349.2282314330039,36.95,0
37,0.95,391.99543598174927,37.95,1
38,0.95,659.2551138257398,38.95,0
39,0.95,329.6275569128699,39.95,0
