onset_sec,duration,freq,offset,loc_change
0,0.95,830.6093951598903,0.95,0
1,0.95,246.94165062806206,1.95,0
2,0.95,220.0,2.95,1
3,0.95,293.6647679174076,3.95,1
4,0.95,440.0,4.95,0
5,0.95,246.94165062806206,5.95,0
6,0.95,349.2282314330039,6.95,1
7,0.95,220.0,7.95,0
8,0.95,698.4564628660078,8.95,0
9,0.95,391.99543598174927,9.95,1
10,0.95,233.08188075904496,10.95,1
11,0.95,220.0,11.95,1
12,0.95,440.0,12.95,1
13,0.95,830.6093951598903,13.95,0
14,0.95,293.6647679174076,14.95,0
15,0.95,369.9944227116344,15.95,0
16,0.95,698.4564628660078,16.95,0
17,0.95,329.6275569128699,17.95,1
18,0.95,466.1637615180899,18.95,0
19,0.95,466.1637615180899,19.95,0
20,0.95,659.2551138257398,20.95,1
21,0.95,659.2551138257398,21.95,1
22,0.95,233.08188075904496,22.95,1
23,0.95,329.6275569128699,23.95,0
24,0.95,493.8833012561241,24.95,0
25,0.95,523.2511306011972,25.95,0
26,0.95,466.1637615180899,26.95,0
27,0.95,493.8833012561241,27.95,0
28,0.95,698.4564628660078,28.95,0
29,0.95,220.0,29.95,0
30,0.95,329.6275569128699,30.95,0
31,0.95,440.0,31.95,0
32,0.95,349.2282314330039,32.95,0
33,0.95,659.2551138257398,33.95,0
34,0.95,293.6647679174076,34.95,0
35,0.95,311.1269837220809,35.95,0
36,0.95,391.99543598174927,36.95,0
37,0.95,698.4564628660078,37.95,0
38,0.95,523.2511306011972,38.95,0
39,0.95,261.6255653005986,39.95,1
